age,survival
0.5,0.9137
1.5,0.9841
2.5,0.9841
3.5,0.9323
4.5,0.9323
5.5,0.9323
6.5,0.988
7.5,0.988
8.5,0.988
9.5,0.988
10.5,0.9771
11.5,0.9771
12.5,0.9771
13.5,0.9771
14.5,0.9771
15.5,0.9847
16.5,0.9847
17.5,0.9847
18.5,0.9847
19.5,0.9847
20.5,0.975
21.5,0.975
22.5,0.975
23.5,0.975
24.5,0.975
25.5,0.975
26.5,0.975
27.5,0.975
28.5,0.975
29.5,0.975
30.5,0.9947
31.5,0.9947
32.5,0.9947
33.5,0.9947
34.5,0.9947
35.5,0.9947
36.5,0.9947
37.5,0.9947
38.5,0.9947
39.5,0.9947
40.5,0.942
41.5,0.942
42.5,0.942
43.5,0.942
44.5,0.942
45.5,0.942
46.5,0.942
47.5,0.942
48.5,0.942
49.5,0.942
50.5,0.9322
