age,survival
0.5,0.9715
1.5,0.9747
2.5,0.9747
3.5,0.9849
4.5,0.9849
5.5,0.9849
6.5,0.9894
7.5,0.9894
8.5,0.9894
9.5,0.9894
10.5,0.9938
11.5,0.9938
12.5,0.9938
13.5,0.9938
14.5,0.9938
15.5,1
16.5,1
17.5,1
18.5,1
19.5,1
20.5,0.9966
21.5,0.9966
22.5,0.9966
23.5,0.9966
24.5,0.9966
25.5,0.9966
26.5,0.9966
27.5,0.9966
28.5,0.9966
29.5,0.9966
30.5,0.9963
31.5,0.9963
32.5,0.9963
33.5,0.9963
34.5,0.9963
35.5,0.9963
36.5,0.9963
37.5,0.9963
38.5,0.9963
39.5,0.9963
40.5,0.9534
41.5,0.9534
42.5,0.9534
43.5,0.9534
44.5,0.9534
45.5,0.9534
46.5,0.9534
47.5,0.9534
48.5,0.9534
49.5,0.9534
50.5,0.9382
