age,survival
0.5,0.9137
1.5,0.9841
2.5,0.9841
3.5,0.9323
4.5,0.9323
5.5,0.9323
6.5,0.988
7.5,0.988
8.5,0.988
9.5,0.988
10.5,0.9771
11.5,0.9771
12.5,0.9771
13.5,0.9771
14.5,0.9771
15.5,0.9749
16.5,0.9749
17.5,0.9749
18.5,0.9749
19.5,0.9749
20.5,0.8172
21.5,0.8172
22.5,0.8172
23.5,0.8172
24.5,0.8172
25.5,0.8172
26.5,0.8172
27.5,0.8172
28.5,0.8172
29.5,0.8172
30.5,0.8172
31.5,0.8172
32.5,0.8172
33.5,0.8172
34.5,0.8172
35.5,0.8172
36.5,0.8172
37.5,0.8172
38.5,0.8172
39.5,0.8172
40.5,0.8172
41.5,0.8172
42.5,0.8172
43.5,0.8172
44.5,0.8172
45.5,0.8172
46.5,0.8172
47.5,0.8172
48.5,0.8172
49.5,0.8172
50.5,0.8172
