age,survival
0.5,0.9715
1.5,0.9747
2.5,0.9747
3.5,0.9849
4.5,0.9849
5.5,0.9849
6.5,0.9894
7.5,0.9894
8.5,0.9894
9.5,0.9894
10.5,0.9938
11.5,0.9938
12.5,0.9938
13.5,0.9938
14.5,0.9938
15.5,0.9886
16.5,0.9886
17.5,0.9886
18.5,0.9886
19.5,0.9886
20.5,0.9585
21.5,0.9585
22.5,0.9585
23.5,0.9585
24.5,0.9585
25.5,0.9422
26.5,0.9422
27.5,0.9422
28.5,0.9422
29.5,0.9422
30.5,0.9422
31.5,0.9422
32.5,0.9422
33.5,0.9422
34.5,0.9422
35.5,0.9422
36.5,0.9422
37.5,0.9422
38.5,0.9422
39.5,0.9422
40.5,0.9422
41.5,0.9422
42.5,0.9422
43.5,0.9422
44.5,0.9422
45.5,0.9422
46.5,0.9422
47.5,0.9422
48.5,0.9422
49.5,0.9422
50.5,0.9422
